Profit/Losses,Date
867884,Jan-2010
984655,Feb-2010
322013,Mar-2010
-69417,Apr-2010
310503,May-2010
522857,Jun-2010
1033096,Jul-2010
604885,Aug-2010
-216386,Sep-2010
477532,Oct-2010
893810,Nov-2010
-80353,Dec-2010
779806,Jan-2011
-335203,Feb-2011
697845,Mar-2011
793163,Apr-2011
485070,May-2011
584122,Jun-2011
62729,Jul-2011
668179,Aug-2011
899906,Sep-2011
834719,Oct-2011
132003,Nov-2011
309978,Dec-2011
-755566,Jan-2012
1170593,Feb-2012
252788,Mar-2012
1151518,Apr-2012
817256,May-2012
570757,Jun-2012
506702,Jul-2012
-1022534,Aug-2012
475062,Sep-2012
779976,Oct-2012
144175,Nov-2012
542494,Dec-2012
359333,Jan-2013
321469,Feb-2013
67780,Mar-2013
471435,Apr-2013
565603,May-2013
872480,Jun-2013
789480,Jul-2013
999942,Aug-2013
-1196225,Sep-2013
268997,Oct-2013
-687986,Nov-2013
1150461,Dec-2013
682458,Jan-2014
617856,Feb-2014
824098,Mar-2014
581943,Apr-2014
132864,May-2014
448062,Jun-2014
689161,Jul-2014
800701,Aug-2014
1166643,Sep-2014
947333,Oct-2014
578668,Nov-2014
988505,Dec-2014
1139715,Jan-2015
1029471,Feb-2015
687533,Mar-2015
-524626,Apr-2015
158620,May-2015
87795,Jun-2015
423389,Jul-2015
840723,Aug-2015
568529,Sep-2015
332067,Oct-2015
989499,Nov-2015
778237,Dec-2015
650000,Jan-2016
-1100387,Feb-2016
-174946,Mar-2016
757143,Apr-2016
445709,May-2016
712961,Jun-2016
-1163797,Jul-2016
569899,Aug-2016
768450,Sep-2016
102685,Oct-2016
795914,Nov-2016
60988,Dec-2016
138230,Jan-2017
671099,Feb-2017
